Date,HFI,CA,EM,EMN,ED,EDD,EDM,EDRA,FIA,GM,LE,MF,M,rf,SP500,MSCI_WORLD,Corp3y,Corp10y,spread_mat,Mom,high_yield,inv_grade,default_spread
2019-06-30,0.02,0.0049,0.0365,0.005,0.0162,0.0096,0.0197,0.0061,0.0067,0.0401,0.0182,0.0262,0.0109,0.0208,0.0689292938332364,0.057631561043833796,0.024917391304347825,0.036608695652173916,0.01169130434782609,-2.3,0.11875217391304348,0.02783478260869565,0.09091739130434782
2019-07-31,0.0072,-0.0023,0.0172,-0.0021,-0.002,-0.0147,0.0031,-0.0007,0.0013,0.0096,0.0073,0.0353,0.0028,0.0204,0.013127586423792501,0.011115750407004299,0.02274782608695652,0.03371739130434783,0.01096956521739131,2.89,0.12143478260869564,0.02453913043478261,0.09689565217391304
2019-08-31,-0.0014,-0.0029,-0.0498,-0.0046,-0.0124,-0.0164,-0.0115,-0.003,-0.004,0.0033,-0.005,0.042,0.0071,0.0195,-0.0180919032406308,-0.0214644793262084,0.022947619047619047,0.03428571428571428,0.011338095238095234,6.92,0.11873333333333332,0.02506190476190476,0.09367142857142856
2019-09-30,-0.0032,0.0012,-0.0079,-0.0107,-0.0005,-0.0039,0.0004,0.006,0.0055,0.0082,-0.0012,-0.0404,-0.0031,0.0184,0.0171808858783675,0.021503346979235796,0.021695652173913046,0.0345695652173913,0.012873913043478256,-6.81,0.12343478260869563,0.0248,0.09863478260869563
2019-10-31,0.0034,0.0013,0.033,0.0013,-0.0018,0.0029,-0.0045,0.0085,0.0064,-0.0057,0.0136,-0.03,0.0062,0.0151,0.0204341727074846,0.0178858620767212,0.021819047619047616,0.0348,0.012980952380952381,0.15,0.1273238095238095,0.025366666666666666,0.10195714285714284
2019-11-30,0.0047,0.0104,0.0004,-0.0057,0.0059,-0.002,0.0097,0.0005,0.005,-0.0018,0.0131,0.0021,0.0008,0.015600000000000001,0.0340457608872843,0.0299492250959423,0.021619047619047618,0.03408571428571429,0.012466666666666671,-2.66,0.12207619047619048,0.025352380952380953,0.09672380952380952
2019-12-31,0.0161,0.0214,0.0427,0.0151,0.0181,0.0118,0.0214,0.0106,0.0114,0.0151,0.0231,0.0022,0.0057,0.0152,0.0285902184801358,0.021683405583108502,0.020281818181818182,0.03265909090909091,0.012377272727272726,-1.77,0.11543181818181818,0.02448181818181818,0.09095
2020-01-31,0.0016,0.0013,0.003,-0.0116,0.001,0.006,-0.0012,0.0023,0.0063,0.0,-0.0079,0.0125,0.0105,0.0152,-0.00162983256304027,-0.00323880844117185,0.018571428571428572,0.030676190476190475,0.012104761904761903,5.98,0.11595238095238097,0.022414285714285716,0.09353809523809525
2020-02-29,-0.0199,0.0107,-0.0056,-0.0106,-0.0284,-0.0136,-0.0366,-0.0071,0.0017,-0.0204,-0.033,-0.0147,-0.0156,0.0125,-0.0841082808078488,-0.0823773646231446,0.028718181818181816,0.03847727272727273,0.009759090909090912,-0.4,0.16352272727272726,0.023395454545454542,0.1401272727272727
2020-03-31,-0.0728,-0.0643,-0.1027,-0.0312,-0.1347,-0.1009,-0.1559,-0.0635,-0.0651,-0.0619,-0.0741,0.0027,-0.0598,0.0011,-0.12512015470937998,-0.130738279936992,0.025166666666666667,0.03822857142857143,0.013061904761904764,7.97,0.17719047619047618,0.019138095238095242,0.15805238095238094
2020-04-30,0.0243,0.0192,0.0404,0.0164,0.0434,0.0282,0.0512,0.0361,-0.0191,0.0287,0.0432,-0.0088,0.0158,0.0009,0.126843974608468,0.10387846397111901,0.017131818181818182,0.033036363636363635,0.015904545454545452,-5.23,0.1763590909090909,0.018045454545454545,0.15831363636363638
2020-05-31,0.0249,0.0181,0.0233,-0.0019,0.0285,0.0082,0.0392,0.0138,0.02,0.0217,0.0408,-0.0058,0.0209,0.0014000000000000002,0.0452799231062939,0.0452068696804879,0.012027272727272727,0.028386363636363633,0.016359090909090906,0.43,0.14185,0.015813636363636363,0.12603636363636364
2020-06-30,0.0116,0.0201,0.0634,0.0189,0.0235,0.0192,0.0253,0.0236,0.0267,-0.0046,0.0111,-0.0145,0.0023,0.0016,0.0183884239397724,0.0222814747974746,0.009591304347826088,0.026043478260869564,0.016452173913043475,-0.73,0.13590869565217392,0.014952173913043479,0.12095652173913045
2020-07-31,0.0264,0.0372,0.044,0.0434,0.0174,-0.0024,0.0232,0.0232,0.018,0.0433,0.016,0.0283,0.03,0.0009,0.0551045289429832,0.0329583065833376,0.008133333333333333,0.02533809523809524,0.017204761904761907,7.61,0.12413333333333332,0.015138095238095237,0.10899523809523808
2020-08-31,0.0172,0.0138,0.0146,-0.0007,0.0321,0.0185,0.0387,0.0077,0.0119,0.0189,0.0267,-0.0154,0.0092,0.0011,0.0700626385152238,0.0611839572723675,0.007745454545454545,0.0253,0.017554545454545455,0.55,0.11919090909090908,0.015836363636363635,0.10335454545454545
