Date,HFI,CA,EM,EMN,ED,EDD,EDM,EDRA,FIA,GM,LE,MF,M,SP500,spread_mat,Mom,default_spread
2005-04-30,-0.0104,-0.0313,0.0028,-0.0022,-0.0064,-0.0006,-0.0112,-0.0054,-0.0063,-0.0025,-0.0155,-0.0345,-0.011,-0.0201115373571371,0.01039090909090909,-0.69,0.0825590909090909
2005-05-31,0.0015,-0.0155,0.0067,-0.0034,0.0055,0.0013,0.0089,0.0032,-0.0124,0.0007,0.0051,0.0362,-0.0093,0.029954077784669103,0.00995909090909091,0.45,0.07418636363636363
2005-06-30,0.0131,0.0096,0.0201,0.0021,0.0129,0.0121,0.0138,0.0079,-0.0052,0.0052,0.0191,0.0422,0.0118,-0.000144523733868862,0.009499999999999995,2.05,0.07217727272727271
2005-07-31,0.0192,0.0171,0.023,0.0033,0.0227,0.0165,0.0285,0.0046,0.01,0.0104,0.0268,0.0078,0.0226,0.0359697869838655,0.00854347826086957,0.06,0.0705
2005-08-31,0.0088,0.0072,0.0229,0.0086,0.0085,0.01,0.0076,0.006,0.0051,0.0071,0.0112,-0.0087,0.0104,-0.0112208160337143,0.008822727272727274,2.08,0.07225000000000001
2005-09-30,0.0163,0.011,0.0412,0.009,0.0107,0.0124,0.01,0.0023,0.0012,0.0243,0.0202,0.0138,0.0161,0.00694934464086749,0.00817142857142858,3.43,0.06936190476190474
2005-10-31,-0.0146,-0.0007,-0.0278,0.0083,-0.0182,-0.001,-0.031,-0.0112,0.0027,-0.0086,-0.0229,-0.0197,-0.0103,-0.017745196699835198,0.007104545454545461,-1.39,0.06952727272727274
2005-11-30,0.0148,-0.0043,0.0243,0.0018,0.0128,0.0163,0.0103,0.0101,-0.0058,0.0108,0.0222,0.0417,0.013,0.0351888917858644,0.006318181818181813,0.35,0.06999090909090908
2005-12-31,0.0161,0.0096,0.0244,0.0144,0.0145,0.0173,0.0127,0.0085,0.0045,0.0158,0.0278,-0.0253,0.0189,-0.000949275582120656,0.006980952380952379,0.77,0.0629904761904762
2006-01-31,0.0323,0.0275,0.0576,0.014,0.0292,0.0252,0.0332,0.0163,0.0142,0.0337,0.0418,0.0271,0.0276,0.025468219400413397,0.006205000000000002,2.53,0.060179999999999984
